ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-02-12,7919.395727053617,-5308.965734707266,14521.011149679305,7919.395727053617,7919.395727053617,-3143.9464242965137,-3143.9464242965137,-3143.9464242965137,-4333.254016907716,-4333.254016907716,-4333.254016907716,1189.3075926112015,1189.3075926112015,1189.3075926112015,0.0,0.0,0.0,4775.4493027571025
2017-02-13,7984.8918981423385,3755.320357521048,21979.323924351473,7984.8918981423385,7984.8918981423385,4635.442275245686,4635.442275245686,4635.442275245686,3310.4548953649373,3310.4548953649373,3310.4548953649373,1324.9873798807484,1324.9873798807484,1324.9873798807484,0.0,0.0,0.0,12620.334173388024
2017-02-14,8050.388069231062,3150.602897236995,21360.266867444006,8050.388069231062,8050.388069231062,4418.5274787784765,4418.5274787784765,4418.5274787784765,2978.45116711586,2978.45116711586,2978.45116711586,1440.076311662616,1440.076311662616,1440.076311662616,0.0,0.0,0.0,12468.91554800954
2017-02-15,8115.884240319785,2549.932739881962,21015.525224458594,8115.884240319785,8115.884240319785,3721.6587889370344,3721.6587889370344,3721.6587889370344,2188.719426899704,2188.719426899704,2188.719426899704,1532.9393620373303,1532.9393620373303,1532.9393620373303,0.0,0.0,0.0,11837.54302925682
2017-02-16,8181.380411408509,1441.694118829943,20651.74717562307,8181.380411408509,8181.380411408509,2682.250688487031,2682.250688487031,2682.250688487031,1079.3357269140447,1079.3357269140447,1079.3357269140447,1602.9149615729862,1602.9149615729862,1602.9149615729862,0.0,0.0,0.0,10863.63109989554
2017-02-17,8246.87658249723,605.4194013615439,19328.74494874631,8246.87658249723,8246.87658249723,1805.307704713516,1805.307704713516,1805.307704713516,155.00960469840305,155.00960469840305,155.00960469840305,1650.298100015113,1650.298100015113,1650.298100015113,0.0,0.0,0.0,10052.184287210746
2017-02-18,8312.372753585954,-3931.065397730603,14527.19386009477,8312.372753585954,8312.372753585954,-3702.4264497038,-3702.4264497038,-3702.4264497038,-5378.716804090528,-5378.716804090528,-5378.716804090528,1676.2903543867278,1676.2903543867278,1676.2903543867278,0.0,0.0,0.0,4609.946303882154
2017-02-19,8377.868924674678,-3897.7936380430665,15315.77788516989,8377.868924674678,8377.868924674678,-2650.3345217894107,-2650.3345217894107,-2650.3345217894107,-4333.254016899169,-4333.254016899169,-4333.254016899169,1682.9194951097584,1682.9194951097584,1682.9194951097584,0.0,0.0,0.0,5727.534402885267
2017-02-20,8443.365095763402,3969.6856443338725,23484.28820350409,8443.365095763402,8443.365095763402,4983.3871065215135,4983.3871065215135,4983.3871065215135,3310.4548953657045,3310.4548953657045,3310.4548953657045,1672.93221115581,1672.93221115581,1672.93221115581,0.0,0.0,0.0,13426.752202284915
2017-02-21,8508.861266852124,3234.1944287965034,22582.812831639705,8508.861266852124,8508.861266852124,4628.115420102961,4628.115420102961,4628.115420102961,2978.451167113891,2978.451167113891,2978.451167113891,1649.6642529890696,1649.6642529890696,1649.6642529890696,0.0,0.0,0.0,13136.976686955084
